date,open,high,low,close,volume
2025-01-23 00:00:00,2880.52,2881.41,2878.43,2878.43,0
2025-01-24 00:00:00,2878.97,2883.83,2878.96,2882.2,0
2025-01-27 00:00:00,2883.8,2892.48,2883.79,2890.82,0
2025-01-28 00:00:00,2891.36,2897.53,2890.0,2890.0,0
2025-01-29 00:00:00,2890.54,2891.21,2886.04,2888.9,0
2025-01-30 00:00:00,2888.9,2889.84,2887.8,2889.69,0
2025-01-31 00:00:00,2890.23,2890.23,2887.01,2887.01,0
2025-02-01 00:00:00,2888.62,2888.62,2887.54,2887.54,0
2025-02-03 00:00:00,2888.62,2893.86,2887.39,2891.32,0
2025-02-04 00:00:00,2891.86,2892.36,2890.1,2891.15,0
2025-02-05 00:00:00,2891.69,2895.21,2891.69,2893.83,0
2025-02-06 00:00:00,2894.37,2897.31,2894.37,2896.12,0
2025-02-07 00:00:00,2896.66,2897.98,2887.69,2888.17,0
